"","Country","naCode","naCall","naPopu","naArea","naXPre","naDens"
"1","Anguilla",NA,NA,"Anguilla",NA,NA,"Anguilla"
"2","Antarctica",NA,NA,"Antarctica","Antarctica","Antarctica","Antarctica"
"3","Aruba",NA,NA,"Aruba",NA,NA,"Aruba"
"4","Bermuda",NA,NA,"Bermuda",NA,NA,"Bermuda"
"5","Brunei",NA,NA,NA,"Brunei","Brunei",NA
"6","Cape Verde",NA,NA,NA,"Cape Verde","Cape Verde",NA
"7","Christmas Island",NA,NA,"Christmas Island","Christmas Island","Christmas Island","Christmas Island"
"8","Congo",NA,"Congo","Congo",NA,NA,"Congo"
"9","Cook Islands",NA,NA,"Cook Islands",NA,NA,"Cook Islands"
"10","Cote d'Ivoire",NA,"Cote d'Ivoire","Cote d'Ivoire","Cote d'Ivoire","Cote d'Ivoire","Cote d'Ivoire"
"11","Curacao",NA,NA,"Curacao","Curacao","Curacao","Curacao"
"12","Czechia",NA,"Czechia","Czechia",NA,NA,"Czechia"
"13","Democratic Republic of Congo",NA,"Democratic Republic of Congo","Democratic Republic of Congo","Democratic Republic of Congo","Democratic Republic of Congo","Democratic Republic of Congo"
"14","Eswatini",NA,"Eswatini",NA,NA,NA,NA
"15","Faeroe Islands",NA,"Faeroe Islands","Faeroe Islands",NA,NA,"Faeroe Islands"
"16","French Guiana",NA,"French Guiana",NA,NA,NA,NA
"17","French Polynesia",NA,NA,"French Polynesia",NA,NA,"French Polynesia"
"18","Guadeloupe",NA,"Guadeloupe",NA,NA,NA,NA
"19","Guinea-Bissau",NA,NA,"Guinea-Bissau",NA,NA,"Guinea-Bissau"
"20","Hong Kong",NA,NA,NA,"Hong Kong","Hong Kong",NA
"21","Kosovo",NA,NA,NA,"Kosovo","Kosovo",NA
"22","Macao",NA,"Macao","Macao","Macao","Macao","Macao"
"23","Martinique",NA,"Martinique",NA,NA,NA,NA
"24","Montserrat",NA,NA,"Montserrat",NA,NA,"Montserrat"
"25","Namibia","Namibia",NA,NA,NA,NA,NA
"26","New Caledonia",NA,NA,"New Caledonia",NA,NA,"New Caledonia"
"27","Niue",NA,NA,"Niue",NA,NA,"Niue"
"28","North Macedonia",NA,"North Macedonia",NA,"North Macedonia","North Macedonia",NA
"29","Palestine",NA,NA,NA,"Palestine","Palestine",NA
"30","Reunion","Reunion",NA,NA,"Reunion","Reunion",NA
"31","Russia","Russia",NA,NA,NA,NA,NA
"32","Saint Helena","Saint Helena",NA,"Saint Helena",NA,NA,"Saint Helena"
"33","Saint Pierre and Miquelon",NA,NA,"Saint Pierre and Miquelon",NA,NA,"Saint Pierre and Miquelon"
"34","Sint Maarten (Dutch part)",NA,"Sint Maarten (Dutch part)","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)"
"35","South Korea","South Korea",NA,NA,NA,NA,NA
"36","Syria","Syria",NA,NA,NA,NA,NA
"37","Taiwan","Taiwan",NA,NA,NA,NA,NA
"38","Tanzania","Tanzania",NA,NA,NA,NA,NA
"39","Timor",NA,"Timor","Timor","Timor","Timor","Timor"
"40","Turks and Caicos Islands",NA,NA,"Turks and Caicos Islands",NA,NA,"Turks and Caicos Islands"
"41","Wallis and Futuna",NA,NA,"Wallis and Futuna","Wallis and Futuna","Wallis and Futuna","Wallis and Futuna"
